Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
1,2021,7223,F,S,Y,2,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,27.38
2,2021,7841,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,14.9
3,2021,8374,F,M,N,2,$50K - $70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,5.52
4,2021,9619,M,M,Y,3,$30K - $50K,Portland,OR,USA,Food,Snacks,Candy,4,4.44
5,2021,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Drink,Beverages,Carbonated Beverages,4,14
6,2021,6696,F,M,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Deli,Side Dishes,3,4.37
7,2021,9673,M,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,4,13.78
8,2021,354,F,M,Y,2,$150K +,Yakima,WA,USA,Food,Canned Foods,Canned Soup,6,7.34
9,2021,1293,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Non-Consumable,Household,Cleaning Supplies,1,2.41
10,2021,7938,M,S,N,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,2,8.96
11,2021,9357,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,3,11.82
12,2021,3097,M,M,Y,1,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,14.45
13,2021,2741,M,S,N,3,$70K - $90K,Bellingham,WA,USA,Food,Canned Foods,Canned Tuna,4,19.18
14,2021,2032,F,M,N,3,$10K - $30K,Yakima,WA,USA,Non-Consumable,Household,Plastic Products,4,19.5
15,2021,6651,M,S,N,0,$30K - $50K,Portland,OR,USA,Food,Produce,Fruit,5,13.06
16,2021,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,5,12.42
17,2021,6161,F,S,N,1,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Meat,5,17.65
18,2021,5717,F,S,N,0,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,8.74
19,2021,354,F,M,Y,2,$150K +,Yakima,WA,USA,Drink,Dairy,Dairy,5,7.75
20,2021,3458,F,S,N,5,$10K - $30K,San Diego,CA,USA,Drink,Beverages,Drinks,5,6.66
21,2021,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,4,17.92
22,2021,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Food,Produce,Fruit,5,12.64
23,2021,9795,M,S,N,2,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,5,14.48
24,2021,4543,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Deli,Meat,4,4.21
25,2021,3386,F,M,Y,4,$30K - $50K,San Diego,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,14.78
26,2021,5005,M,M,N,2,$30K - $50K,San Francisco,CA,USA,Food,Produce,Fruit,2,4.49
27,2021,1918,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,13.41
28,2021,5801,M,S,N,2,$50K - $70K,San Diego,CA,USA,Non-Consumable,Checkout,Hardware,5,3.42
29,2021,3196,M,S,N,2,$50K - $70K,Salem,OR,USA,Food,Produce,Fruit,2,10.8
30,2021,9554,M,M,Y,3,$70K - $90K,Salem,OR,USA,Food,Deli,Meat,4,8.64
31,2021,2670,F,S,Y,0,$70K - $90K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,21.62
32,2021,7902,M,M,Y,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,6,8.74
33,2021,8466,M,M,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Seafood,Seafood,4,16.51
34,2021,1953,F,S,N,1,$70K - $90K,Beverly Hills,CA,USA,Food,Produce,Vegetables,3,1.43
35,2021,7617,F,M,N,3,$10K - $30K,Portland,OR,USA,Non-Consumable,Household,Electrical,4,10.94
36,2022,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Fruit,2,8.42
37,2022,6510,F,M,Y,0,$50K - $70K,Salem,OR,USA,Food,Produce,Vegetables,5,7.23
38,2022,7570,M,M,Y,4,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,6.07
39,2022,4686,F,S,N,2,$50K - $70K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,5,11.9
40,2022,6207,M,M,N,1,$30K - $50K,Los Angeles,CA,USA,Drink,Dairy,Dairy,5,13.16
41,2022,1161,M,S,N,5,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,5,14.05
42,2022,8746,F,S,N,3,$30K - $50K,Yakima,WA,USA,Non-Consumable,Household,Kitchen Products,6,13.78
43,2022,9736,M,S,N,3,$70K - $90K,Seattle,WA,USA,Food,Deli,Side Dishes,5,26.22
44,2022,1634,F,M,Y,1,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,8.58
45,2022,6253,F,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Baked Goods,Bread,4,15.6
