Order ID,Product ID,Product Category,Quantity,Unit Price,Total Price,Order Date,Customer ID,Payment Type,Order Status
873ff350-854d-4bd8-aebf-6cc5e1a6d3b7,26ab320e-62f2-4203-be68-f8740085d796,Sports & Outdoors,4,£154.05,£616.20,02/08/2023,292fe8cf-4d60-437b-8488-4c225e84d48d,Credit Card,Completed
7cb2641e-ea6b-4faf-a7ab-24992d5573fa,8c0d7ba9-1e6b-412a-8359-97d964ad19e5,Home & Kitchen,5,£275.54,"£1,377.70",03/09/2023,a026178d-e3ed-4d45-a49c-8336479b2114,PayPal,Refunded
94e0de8a-419d-46e1-9e7c-65c730b89c65,5d65b6c7-1894-4207-b7e3-b53cc2d5e5e3,Beauty & Health,3,£56.41,£169.23,06/12/2023,808e8010-1552-42dd-a9c5-eacd4fde3283,Debit Card,Cancelled
88cc8ccf-f018-46ac-ba3b-f36b5cf4e429,b3f6c6a5-d3cb-49a4-b53b-3996be815c28,Books,2,£176.41,£352.82,22/07/2023,6184896b-4fb2-4ae0-9851-65033dae1319,PayPal,Pending
eb520575-720e-456e-9dc5-c2c3bb887bfc,fed52dbf-49c6-4128-8b18-c36e50184a04,Electronics,3,£409.89,"£1,229.68",08/04/2023,24689017-68fc-42ba-8ae6-f0ad7155e0d6,Credit Card,Cancelled
9208a712-e102-4f97-a0e0-345ffc6744cb,1a2e7ec3-4117-487d-9a7c-6793e93a46e8,Home & Kitchen,2,£369.06,£738.12,03/07/2023,f172dd53-ebd6-49cd-8545-3853788e142b,PayPal,Cancelled
ada3eefe-8782-4af1-b248-e4aa81a32cf0,25e1a2fe-fca6-4b43-9658-3ee89a5be3a8,Clothing,2,£291.94,£583.89,10/03/2023,eeafe5a1-d9be-4edc-9881-8b60f5eca86d,Credit Card,Pending
56866a60-0db6-4e10-9d19-9fbe6ecec552,b7c8000e-79f8-41c6-b689-d9a02fd651fa,Clothing,2,£222.61,£445.22,20/12/2023,8f06c738-60f9-48ff-9279-25d12da8f9b7,Credit Card,Refunded
1e0c36b0-1c2b-4ad5-a479-b0ea24fb4824,bf8cc408-2a84-476f-bba8-900c9da435eb,Sports & Outdoors,5,£263.04,"£1,315.20",21/10/2023,d4ca907b-f84a-460c-9a4d-7819b166dffc,PayPal,Refunded
83747baf-e907-4db6-952d-2d8f8fa8f801,0af4a42d-7c59-4d37-8c7a-c22392574b73,Sports & Outdoors,4,£116.07,£464.29,19/02/2023,fec4616d-5ebc-4351-8509-430bdf9c37c4,PayPal,Refunded
46c4e6a1-2cae-445c-928f-c1cee095e578,78c2ea23-7a36-49d6-8116-ae4d3be453eb,Sports & Outdoors,2,£168.64,£337.28,05/12/2023,ad136301-f250-4188-983f-569e3f06a2e2,PayPal,Pending
32fa48f8-32d5-42b1-8d70-4dfd376807a0,20ddbbf2-8904-47c3-adf1-faf540956291,Clothing,3,£444.66,"£1,333.99",07/08/2023,27c25d39-7088-46a2-8a83-5522b2da82c5,Debit Card,Refunded
b80f6f1d-8052-44a1-9e30-35fd58f6a77a,a9a3910b-76da-44a7-a7a8-c68d8088bcdd,Sports & Outdoors,1,£134.86,£134.86,17/05/2023,c1fd1416-d468-4cb2-8edb-da436fc8caa4,Credit Card,Completed
b2d24e95-17a3-4d0b-8058-b9e001a3e5c1,1935ec82-0dbc-4056-96ce-3e9aa610b66c,Electronics,3,£42.21,£126.62,03/04/2023,39617a0f-cace-41d7-86ac-96a2a64cd528,Gift Card,Cancelled
53725951-ab70-48ac-aaf2-a8a7632afd02,f5ccb3c6-2b12-4325-ab2b-9646bfe26d4a,Sports & Outdoors,2,£351.39,£702.78,12/05/2023,383ba317-d8f0-4467-ae95-cc27d08661ea,Credit Card,Refunded
542d294e-4363-4dcb-99d4-5caa30e5c9c3,33a72e34-6a7e-4003-b8f4-0dc18082d193,Clothing,4,£315.49,"£1,261.96",24/05/2023,f3ac55a5-33e7-4cd1-985f-d312d4f303bf,PayPal,Completed
10ac85f0-7dfb-427c-ad48-d806a9d03aec,91f34197-85e8-4176-a0ac-76ece8c6cee2,Books,1,£108.97,£108.97,07/03/2023,6414d972-776c-4000-aac9-d29eed1b5602,PayPal,Cancelled
b859120e-64e9-425e-99f3-d9bec6b99fb8,c1fe9334-83aa-419a-a338-84cf8650f4ca,Home & Kitchen,4,£82.34,£329.35,10/03/2023,49a6c4e4-b7f8-48b8-aa07-e88f93952e6f,PayPal,Pending
5baa9049-d059-4356-a0b3-642e55c84678,d657c80d-1c6f-4076-94ce-623baf755375,Electronics,5,£180.20,£901.00,22/05/2023,63108c5d-0abb-42db-834f-42e66c2f2e1b,Debit Card,Pending
7493ca62-ef6b-42b4-ae50-59f279c1e0a2,2210049f-18e5-496b-b3e1-622485ac8043,Clothing,3,£433.23,"£1,299.70",11/06/2023,2ce2271d-423f-4fc7-9b22-c433e90acdf0,Credit Card,Completed
a35b2d5f-9b7d-46be-9cd0-d65752ad8c8b,37343169-7805-471d-a415-684becc73054,Books,1,£417.39,£417.39,22/04/2023,16b3a153-a3d6-4531-b771-01e01fbcdbf0,Debit Card,Completed
2d4f214e-02ea-48d0-8347-f4ea7029798c,49a91543-2207-49a9-9e98-360d1892557a,Beauty & Health,1,£35.44,£35.44,12/01/2023,15432b94-de22-4dcb-879e-6c63d476a085,Debit Card,Cancelled
9b5cf603-3c7f-4283-b602-fe41920fb5c0,46559337-e8c6-4e34-845b-0feb43eed173,Home & Kitchen,1,£112.20,£112.20,21/02/2023,73807826-8a4c-4271-b898-c27b47a9440b,Gift Card,Refunded
187c575d-20de-4c47-8b73-dd0261190b92,e2e0a612-1e56-4da7-852a-a66c9652d306,Clothing,3,£135.38,£406.15,26/01/2023,6c8314e0-9415-41e1-b609-1abafaeadbf2,PayPal,Completed
